Con,Contp,Reg,Dat,Status,Agtp,Stage,Prot,ProtCiv,ProtGrp,ProtLgl,ProtOth
Afghanistan,Government/territory,Europe and Eurasia,2019-07-08,Multiparty signed/agreed,Intra,Pre,1,1,0,0,0
Afghanistan,Government,Europe and Eurasia,2012-07-08,Multiparty signed/agreed,InterIntra,Imp,1,1,0,1,0
Afghanistan,Government,Europe and Eurasia,2011-12-05,Multiparty signed/agreed,InterIntra,Pre,1,1,0,0,0
Afghanistan,Government,Europe and Eurasia,2010-07-22,Multiparty signed/agreed,InterIntra,Imp,2,1,1,1,0
Afghanistan,Government,Europe and Eurasia,2008-06-12,Multiparty signed/agreed,InterIntra,Imp,1,0,0,1,0
Afghanistan,Government,Europe and Eurasia,2006-02-01,Multiparty signed/agreed,InterIntra,SubPar,1,1,0,1,1
Afghanistan,Other,Cross-regional,2020-02-29,Multiparty signed/agreed,InterIntra,SubPar,1,1,0,0,0
Algeria,Government,Middle East and North Africa,1996-09-17,Multiparty signed/agreed,Intra,SubPar,2,0,1,0,0
Angola,Government/territory,Africa (excl MENA),2006-08-01,Multiparty signed/agreed,Intra,SubComp,1,1,0,0,1
Angola,Government,Africa (excl MENA),2004-11-20,Multiparty signed/agreed,InterIntra,SubPar,2,1,1,0,1
Angola,Government,Africa (excl MENA),2006-12-15,Multiparty signed/agreed,InterIntra,Imp,2,0,1,0,1
Angola,Government,Africa (excl MENA),2006-11-30,Multiparty signed/agreed,InterIntra,SubPar,1,0,1,0,0
Angola,Government,Africa (excl MENA),2002-04-04,Multiparty signed/agreed,Intra,SubPar,1,1,0,0,0
Argentina,Territory,Cross-regional,1995-09-27,Multiparty signed/agreed,Inter,SubComp,1,0,0,0,1
Argentina,Territory,Cross-regional,1990-02-15,Multiparty signed/agreed,Inter,SubPar,1,0,0,0,1
Bahrain,Government,Middle East and North Africa,2011-07-28,Status unclear,Intra,SubComp,1,0,1,0,1
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1993-09-16,Multiparty signed/agreed,Intra,SubComp,2,0,1,1,1
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1993-11-12,Multiparty signed/agreed,InterIntra,Imp,1,0,0,1,0
Bosnia and Herzegovina,Government/territory,Europe and Eurasia,1994-03-01,Multiparty signed/agreed,Intra,SubComp,1,0,0,0,1
